Node,Centrality,Degree,Neighbor_Centrality
0,0.16883116883116883,8.174298229628574,3.2770562770562766
82,0.15708101422387136,9.028202428439329,3.2770562770562766
73,0.15708101422387136,8.034316723024268,3.2770562770562766
35,0.15213358070500926,7.9573410006681895,3.2770562770562766
95,0.13069470212327355,7.86349579174006,3.2770562770562766
10,0.10884353741496598,6.779512152320783,3.2770562770562766
55,0.10657596371882086,8.024015766632239,3.2770562770562766
6,0.09936095650381364,8.169931358454647,3.2770562770562766
79,0.0968872397443826,8.403208671647732,3.2770562770562766
65,0.0948258091115234,8.171454701304658,3.2770562770562766
93,0.09152752009894867,6.887051248304206,3.2770562770562766
48,0.08802308802308802,7.260461929927578,3.2770562770562766
39,0.08596165739022882,7.713247075816168,3.2770562770562766
42,0.08348794063079777,8.399136074945497,3.2770562770562766
63,0.07647907647907648,7.698145260898609,3.2770562770562766
49,0.0756545042259328,7.888908012229935,3.2770562770562766
2,0.07338693052978768,7.673725204338518,3.2770562770562766
46,0.07318078746650175,8.508366574199682,3.2770562770562766
78,0.07029478458049886,9.122847442984316,3.2770562770562766
41,0.06947021232735517,8.14537158901465,3.2770562770562766
23,0.06019377447948876,8.882270638022149,3.2770562770562766
77,0.05875077303648732,7.492082936805229,3.2770562770562766
43,0.056070913213770356,7.466742260108931,3.2770562770562766
87,0.05318491032776747,7.7749616970727775,3.2770562770562766
92,0.052978767264481544,7.434740586254136,3.2770562770562766
1,0.05277262420119563,8.63796275673085,3.2770562770562766
76,0.047619047619047616,7.548652479397403,3.2770562770562766
47,0.043496186353329205,9.458467477946286,3.2770562770562766
56,0.0404040404040404,8.295868008450265,3.2770562770562766
81,0.04019789734075448,9.288067035184694,3.2770562770562766
24,0.03957946815089672,8.467791794061862,3.2770562770562766
20,0.038754895897753036,7.5799063181268975,3.2770562770562766
61,0.03854875283446712,8.030431760044813,3.2770562770562766
86,0.038342609771181195,7.399760395785659,3.2770562770562766
34,0.03751803751803751,8.064554099931826,3.2770562770562766
44,0.033189033189033185,7.627636827505211,3.2770562770562766
36,0.032776747062461344,8.172954421203956,3.2770562770562766
9,0.0303030303030303,7.984192196326963,3.2770562770562766
60,0.02989074417645846,9.46563805589865,3.2770562770562766
14,0.026798598227169654,7.944216089254255,3.2770562770562766
4,0.026592455163883734,7.807078785915312,3.2770562770562766
40,0.021438878581735724,8.196539575191848,3.2770562770562766
25,0.021026592455163882,7.878989747639387,3.2770562770562766
74,0.01999587713873428,7.69252637333711,3.2770562770562766
52,0.01999587713873428,8.515598571823888,3.2770562770562766
85,0.01978973407544836,7.680367978077896,3.2770562770562766
66,0.018552875695732836,7.960437632035416,3.2770562770562766
58,0.017316017316017316,7.995293633277311,3.2770562770562766
57,0.016903731189445475,7.728191629376147,3.2770562770562766
90,0.016491445062873634,8.145355390419873,3.2770562770562766
18,0.015873015873015872,7.552981553850199,3.2770562770562766
67,0.01504844361987219,8.264195031081048,3.2770562770562766
26,0.014636157493300349,9.508511686611183,3.2770562770562766
38,0.011956297670583383,8.18511079163882,3.2770562770562766
8,0.011750154607297465,9.262371339286313,3.2770562770562766
54,0.010719439290867862,8.547447708911246,3.2770562770562766
37,0.01030715316429602,8.015306322176551,3.2770562770562766
27,0.008039579468150896,7.805258468827826,3.2770562770562766
70,0.007421150278293135,7.771849542052224,3.2770562770562766
68,0.006596578025149453,8.315982613508272,3.2770562770562766
31,0.005978148835291692,7.841737704254149,3.2770562770562766
50,0.0055658627087198514,8.939767550165017,3.2770562770562766
62,0.005359719645433931,7.967833640431686,3.2770562770562766
84,0.004741290455576169,7.25919506482812,3.2770562770562766
88,0.0041228612657184084,7.112527588231716,3.2770562770562766
75,0.003916718202432488,8.383680590708751,3.2770562770562766
3,0.0037105751391465673,8.281908869405573,3.2770562770562766
16,0.003092145949288806,8.681553175262039,3.2770562770562766
17,0.003092145949288806,8.100246353628819,3.2770562770562766
99,0.003092145949288806,8.265212167844439,3.2770562770562766
64,0.0018552875695732837,9.26749346994148,3.2770562770562766
98,0.0016491445062873633,7.921687893575228,3.2770562770562766
21,0.001443001443001443,8.21865538164564,3.2770562770562766
80,0.001443001443001443,7.738389319726507,3.2770562770562766
19,0.001443001443001443,7.807940011204024,3.2770562770562766
11,0.0012368583797155224,8.547412611955911,3.2770562770562766
51,0.0010307153164296021,9.06330883295874,3.2770562770562766
97,0.0008245722531436817,7.939409156255692,3.2770562770562766
32,0.0008245722531436817,8.0119606374147,3.2770562770562766
22,0.00041228612657184083,8.636447513178227,3.2770562770562766
91,0.00041228612657184083,8.466691639500267,3.2770562770562766
83,0.00020614306328592042,7.678830461457464,3.2770562770562766
30,0.0,8.026296393787838,3.2770562770562766
71,0.0,7.847735233968449,3.2770562770562766
96,0.0,8.303705428554068,3.2770562770562766
72,0.0,8.599463421548178,3.2770562770562766
94,0.0,10.016557663622674,3.2770562770562766
5,0.0,8.61267135076032,3.2770562770562766
7,0.0,8.399663879158478,3.2770562770562766
53,0.0,9.37236384743623,3.2770562770562766
89,0.0,8.912426347014389,3.2770562770562766
28,0.0,8.46693866807054,3.2770562770562766
12,0.0,10.014626656137574,3.2770562770562766
13,0.0,7.6610956999480235,3.2770562770562766
15,0.0,7.667507643711906,3.2770562770562766
45,0.0,8.97866037621236,3.2770562770562766
59,0.0,8.489848205668153,3.2770562770562766
29,0.0,8.804418841665484,3.2770562770562766
33,0.0,8.64964869297588,3.2770562770562766
69,0.0,7.204189361572878,3.2770562770562766
