Node,Centrality,Degree,Neighbor_Centrality
1,0.2857142857142857,4.045163032106963,2.384236453201971
24,0.27586206896551724,3.841527797463568,2.384236453201971
4,0.23399014778325122,3.8462017669967117,2.384236453201971
23,0.2315270935960591,3.9906486862264683,2.384236453201971
17,0.2315270935960591,3.8537597613407018,2.384236453201971
0,0.19458128078817735,4.022756325888728,2.384236453201971
3,0.19211822660098524,3.673826445555847,2.384236453201971
14,0.15763546798029557,3.800573025290054,2.384236453201971
26,0.10591133004926108,4.195724920863114,2.384236453201971
20,0.07635467980295567,3.940282530490479,2.384236453201971
6,0.0665024630541872,4.0761023481212995,2.384236453201971
8,0.05665024630541872,4.1973245320968395,2.384236453201971
16,0.05665024630541872,4.083283050195394,2.384236453201971
2,0.05172413793103448,4.04285338246907,2.384236453201971
18,0.04433497536945813,3.5988512496540914,2.384236453201971
21,0.03201970443349754,3.9919067770870864,2.384236453201971
9,0.027093596059113302,3.8344361876607174,2.384236453201971
22,0.014778325123152709,3.850179196954663,2.384236453201971
7,0.014778325123152709,4.120018763372277,2.384236453201971
19,0.012315270935960592,3.5550556489224543,2.384236453201971
5,0.009852216748768473,4.010920552642057,2.384236453201971
10,0.009852216748768473,3.4761421696667805,2.384236453201971
13,0.0024630541871921183,4.062091238585051,2.384236453201971
28,0.0,3.746979974487212,2.384236453201971
27,0.0,4.127413421885651,2.384236453201971
15,0.0,4.032525428419083,2.384236453201971
25,0.0,3.7104953395292943,2.384236453201971
12,0.0,4.361781440460039,2.384236453201971
11,0.0,4.205101207470252,2.384236453201971
29,0.0,4.074440642274281,2.384236453201971
