Node,Centrality,Degree,Neighbor_Centrality
126,0.11953707933607431,13.280661577608132,4.105527638190956
197,0.10430942591746611,12.991465365379549,4.105527638190956
79,0.10283741942033399,13.376729368727258,4.105527638190956
122,0.08522410029947718,12.595654726952427,4.105527638190956
20,0.08415816456017461,11.937905386707694,4.105527638190956
123,0.08268615806304248,13.100503506320823,4.105527638190956
6,0.08030049236079387,12.500973940510653,4.105527638190956
111,0.07512309019846708,13.53613164058017,4.105527638190956
169,0.07136693568854373,12.435198871497889,4.105527638190956
82,0.07131617684381503,14.065784518193045,4.105527638190956
42,0.07085934724125678,13.3912628829449,4.105527638190956
35,0.06928582305466728,13.285078394449277,4.105527638190956
168,0.0657834627683874,12.533160548322419,4.105527638190956
118,0.06476828587381352,11.377521749988182,4.105527638190956
181,0.06263641439520837,12.637875689283957,4.105527638190956
34,0.06212882594792142,13.068592949561621,4.105527638190956
144,0.061671996345363175,13.257174290130324,4.105527638190956
134,0.055783970356834675,12.809447155459258,4.105527638190956
67,0.0556316938226486,13.299611233725464,4.105527638190956
5,0.05532714075427643,13.999995950351297,4.105527638190956
160,0.0547180346175321,12.895270010326593,4.105527638190956
174,0.053753616567686915,12.870665694750969,4.105527638190956
0,0.053246028120399976,13.638767286937858,4.105527638190956
105,0.051824780467996545,13.496179156458162,4.105527638190956
154,0.05070808588396528,13.147494279871209,4.105527638190956
120,0.050302015126135725,12.349122238645796,4.105527638190956
183,0.04984518552357748,11.848391277056706,4.105527638190956
93,0.04867773209481752,11.386164375240442,4.105527638190956
29,0.0472057255976854,14.899862311944432,4.105527638190956
61,0.046850413684584535,13.420347459857844,4.105527638190956
63,0.046545860616212374,12.848643030217124,4.105527638190956
10,0.04537840718745241,11.732860874319146,4.105527638190956
26,0.0446677833612507,14.035750298661583,4.105527638190956
116,0.04416019491396376,13.573568617922389,4.105527638190956
136,0.043398812243033345,14.066448660578684,4.105527638190956
124,0.041469976143342975,12.202871200923312,4.105527638190956
86,0.040150246180396934,12.197139598139843,4.105527638190956
162,0.0395918988883813,12.345984435850173,4.105527638190956
164,0.039033551596365665,14.010899629457132,4.105527638190956
28,0.03806913354652048,13.981177907816491,4.105527638190956
46,0.03735850972031877,14.592840896052254,4.105527638190956
55,0.036901680117760516,13.187240231909874,4.105527638190956
49,0.036292573981016193,13.4696391088073,4.105527638190956
121,0.035581950154814475,12.40920755124492,4.105527638190956
38,0.03502360286279884,12.48726992933363,4.105527638190956
33,0.03436373788132582,13.789375071712515,4.105527638190956
32,0.033754631744581494,12.815475732480204,4.105527638190956
186,0.032840972539465,13.95986190697956,4.105527638190956
130,0.03268869600527892,12.474437942508471,4.105527638190956
75,0.03258717831582153,13.546851060670484,4.105527638190956
14,0.030607583371402465,12.630747632642851,4.105527638190956
171,0.030455306837216384,12.598995687124129,4.105527638190956
166,0.03040454799248769,13.911712258961527,4.105527638190956
95,0.029947718389929445,12.992331315258388,4.105527638190956
53,0.02989695954520075,13.946080277535913,4.105527638190956
